pkl,book_slug,source_lang,metric,metric_preference,n
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,litransproqa,HT,1
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,litransproqa,MT,15
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,litransproqa,tie,13
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,metricx-qe,HT,12
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,metricx-qe,MT,17
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,paragraph_mean_cometkiwi,HT,3
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,paragraph_mean_cometkiwi,MT,26
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,paragraph_mean_metricx-qe,HT,14
hooked_a_novel_of_obsession_ja_en,hooked_a_novel_of_obsession,ja,paragraph_mean_metricx-qe,MT,15
inner_space_pl_en,inner_space,pl,litransproqa,MT,14
inner_space_pl_en,inner_space,pl,litransproqa,tie,12
inner_space_pl_en,inner_space,pl,metricx-qe,HT,3
inner_space_pl_en,inner_space,pl,metricx-qe,MT,23
inner_space_pl_en,inner_space,pl,paragraph_mean_cometkiwi,HT,4
inner_space_pl_en,inner_space,pl,paragraph_mean_cometkiwi,MT,21
inner_space_pl_en,inner_space,pl,paragraph_mean_metricx-qe,HT,5
inner_space_pl_en,inner_space,pl,paragraph_mean_metricx-qe,MT,21
kokun_the_girl_from_the_west_ja_en,kokun_the_girl_from_the_west,ja,litransproqa,MT,9
kokun_the_girl_from_the_west_ja_en,kokun_the_girl_from_the_west,ja,litransproqa,tie,15
kokun_the_girl_from_the_west_ja_en,kokun_the_girl_from_the_west,ja,metricx-qe,HT,14
kokun_the_girl_from_the_west_ja_en,kokun_the_girl_from_the_west,ja,metricx-qe,MT,10
kokun_the_girl_from_the_west_ja_en,kokun_the_girl_from_the_west,ja,paragraph_mean_cometkiwi,MT,24
kokun_the_girl_from_the_west_ja_en,kokun_the_girl_from_the_west,ja,paragraph_mean_metricx-qe,HT,1
kokun_the_girl_from_the_west_ja_en,kokun_the_girl_from_the_west,ja,paragraph_mean_metricx-qe,MT,23
make_me_famous_fr_en,make_me_famous,fr,litransproqa,HT,1
make_me_famous_fr_en,make_me_famous,fr,litransproqa,MT,14
make_me_famous_fr_en,make_me_famous,fr,litransproqa,tie,12
make_me_famous_fr_en,make_me_famous,fr,metricx-qe,HT,15
make_me_famous_fr_en,make_me_famous,fr,metricx-qe,MT,12
make_me_famous_fr_en,make_me_famous,fr,paragraph_mean_cometkiwi,MT,27
make_me_famous_fr_en,make_me_famous,fr,paragraph_mean_metricx-qe,HT,14
make_me_famous_fr_en,make_me_famous,fr,paragraph_mean_metricx-qe,MT,13
mona_s_eyes_fr_en,mona_s_eyes,fr,litransproqa,HT,1
mona_s_eyes_fr_en,mona_s_eyes,fr,litransproqa,MT,6
mona_s_eyes_fr_en,mona_s_eyes,fr,litransproqa,tie,22
mona_s_eyes_fr_en,mona_s_eyes,fr,metricx-qe,HT,11
mona_s_eyes_fr_en,mona_s_eyes,fr,metricx-qe,MT,18
mona_s_eyes_fr_en,mona_s_eyes,fr,paragraph_mean_cometkiwi,HT,10
mona_s_eyes_fr_en,mona_s_eyes,fr,paragraph_mean_cometkiwi,MT,16
mona_s_eyes_fr_en,mona_s_eyes,fr,paragraph_mean_metricx-qe,HT,14
mona_s_eyes_fr_en,mona_s_eyes,fr,paragraph_mean_metricx-qe,MT,15
my_grandfather_the_master_detective_ja_en,my_grandfather_the_master_detective,ja,litransproqa,MT,8
my_grandfather_the_master_detective_ja_en,my_grandfather_the_master_detective,ja,litransproqa,tie,14
my_grandfather_the_master_detective_ja_en,my_grandfather_the_master_detective,ja,metricx-qe,HT,9
my_grandfather_the_master_detective_ja_en,my_grandfather_the_master_detective,ja,metricx-qe,MT,13
my_grandfather_the_master_detective_ja_en,my_grandfather_the_master_detective,ja,paragraph_mean_cometkiwi,MT,22
my_grandfather_the_master_detective_ja_en,my_grandfather_the_master_detective,ja,paragraph_mean_metricx-qe,HT,1
