source_lang,source_lang_label,metric,metric_label,n_chunks,mean_ht_score,mean_mt_score,sd_ht_score,sd_mt_score,mean_preference_delta,median_preference_delta,ci95_preference_delta
fr,French,litransproqa,LitTransProQA,134,0.8732476856225203,0.9986491592669564,0.21599331539730077,0.009038380381283868,-0.12540147364443607,0.0,0.036701819571690414
fr,French,metricx-qe,MetricX-QE,134,7.866832702907164,7.649289309088863,1.7820705426794405,1.6488885582021569,-0.21754339381830015,-0.25780224800109863,0.2055351697324389
fr,French,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),129,0.7530015831025133,0.7857501316383875,0.0602882822053222,0.05119530072426553,-0.03274854853587411,-0.02315999999999996,0.006865328725650913
fr,French,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),134,5.258059780645217,5.052980799863219,1.5861829383088373,1.4412695429758753,-0.20507898078199846,-0.09725637946810028,0.16611782362097294
ja,Japanese,litransproqa,LitTransProQA,124,0.9332278481012658,0.9968507554103716,0.12248221158845217,0.019299594254667204,-0.06362290730910578,0.0,0.020733296795236437
ja,Japanese,metricx-qe,MetricX-QE,124,9.118314185450155,8.696930164291013,1.6782870728155648,1.7267043226253627,-0.4213840211591413,-0.2694826126098633,0.2610503787129591
ja,Japanese,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),124,0.7127415102505318,0.773070816764425,0.038428216547561976,0.029587681252130925,-0.060329306513893254,-0.05841249999999998,0.0054318888663092875
ja,Japanese,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),124,5.492837991422085,4.5266904669354995,1.2529817099458762,1.2955717396343722,-0.9661475244865853,-0.9897308682518258,0.1930516067454921
pl,Polish,litransproqa,LitTransProQA,128,0.9547863924050632,0.9910551819620254,0.11138650817324663,0.06823801929949318,-0.036268789556962035,0.0,0.023035923962686885
pl,Polish,metricx-qe,MetricX-QE,127,9.038987704149381,8.74277907093679,1.8299416345983752,1.7798269528734638,-0.29620863321259266,-0.1582193374633789,0.1947826634090156
pl,Polish,paragraph_mean_cometkiwi,COMETKiwi (paragraph mean),124,0.6981129813523025,0.7203068017373483,0.06157827611065857,0.06466155213183411,-0.02219382038504584,-0.014433333333333354,0.006162798582595065
pl,Polish,paragraph_mean_metricx-qe,MetricX-QE (paragraph mean),127,6.279737435314086,5.965025235077957,1.4383404396108421,1.4715557020638133,-0.3147122002361286,-0.21552454680204391,0.14721246073312022
